,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,CMF
79,2021-02-05 10:00:00+07:00,22000.0,101,22279.0,-380.0,SELL,-0.03647720899432191
80,2021-02-05 13:00:00+07:00,22200.0,79,22279.0,0.0,BUY,0.043540223320225474
81,2021-02-26 10:00:00+07:00,23400.0,107,22279.0,1014.0,SELL,-0.007649338007469564
82,2021-02-26 11:00:00+07:00,23400.0,84,23484.0,0.0,BUY,0.05387298669680027
83,2021-03-01 14:00:00+07:00,24000.0,110,23484.0,406.0,SELL,-0.04055811362058238
84,2021-03-09 10:00:00+07:00,23800.0,85,23885.0,0.0,BUY,0.04441137584129957
85,2021-03-24 14:00:00+07:00,23800.0,109,23885.0,-194.0,SELL,-0.018936744489927628
86,2021-03-25 15:00:00+07:00,23400.0,84,23484.0,0.0,BUY,0.03574419265041463
87,2021-03-26 10:00:00+07:00,23600.0,108,23484.0,8.0,SELL,-0.009246824980149589
88,2021-03-26 11:00:00+07:00,23600.0,84,23684.0,0.0,BUY,0.0012243178565770803
89,2021-03-29 13:00:00+07:00,23400.0,107,23684.0,-391.0,SELL,-0.017635714602266844
90,2021-03-29 14:00:00+07:00,23600.0,84,23684.0,0.0,BUY,0.04967722910390372
91,2021-03-30 10:00:00+07:00,23000.0,105,23684.0,-789.0,SELL,-0.01187848233508588
92,2021-03-30 11:00:00+07:00,23200.0,83,23283.0,0.0,BUY,0.18646396516960156
93,2021-04-05 10:00:00+07:00,23400.0,107,23283.0,10.0,SELL,-0.028353748200234462
94,2021-04-05 13:00:00+07:00,23600.0,84,23684.0,0.0,BUY,0.017304796843027274
95,2021-04-05 14:00:00+07:00,23600.0,108,23684.0,-192.0,SELL,-0.03856308798189059
96,2021-04-07 10:00:00+07:00,24400.0,87,24487.0,0.0,BUY,0.08793435991438368
97,2021-04-13 10:00:00+07:00,23600.0,108,24487.0,-995.0,SELL,-0.14689967692319056
98,2021-04-16 10:00:00+07:00,23800.0,85,23885.0,0.0,BUY,0.08337680613235575
99,2021-05-04 14:00:00+07:00,24000.0,110,23885.0,5.0,SELL,-0.014479435252659685
100,2021-05-04 15:00:00+07:00,24000.0,86,24086.0,0.0,BUY,0.04946732731348541
101,2021-05-05 10:00:00+07:00,24000.0,110,24086.0,-196.0,SELL,-0.016576625807865945
102,2021-05-06 13:00:00+07:00,24200.0,87,24287.0,0.0,BUY,0.050800389553679416
103,2021-05-07 13:00:00+07:00,23400.0,107,24287.0,-994.0,SELL,-0.12646765986818437
104,2021-05-10 14:00:00+07:00,23000.0,82,23082.0,0.0,BUY,0.02969783812141257
105,2021-05-11 14:00:00+07:00,22600.0,103,23082.0,-585.0,SELL,-0.024275056218555115
106,2021-05-17 15:00:00+07:00,22800.0,82,22882.0,0.0,BUY,0.05429195221708248
107,2021-06-10 13:00:00+07:00,21200.0,97,22882.0,-1779.0,SELL,-0.0284150586982639
108,2021-06-10 14:00:00+07:00,21400.0,77,21477.0,0.0,BUY,0.04088981941899959
109,2021-06-11 09:00:00+07:00,21600.0,99,21477.0,24.0,SELL,-0.03137347761912725
110,2021-06-11 11:00:00+07:00,21800.0,78,21878.0,0.0,BUY,0.01722000352627996
111,2021-06-23 13:00:00+07:00,20600.0,94,21878.0,-1372.0,SELL,-0.22690446414006923
112,2021-06-29 14:00:00+07:00,19400.0,69,19469.0,0.0,BUY,0.007744689436595866
113,2021-06-30 09:00:00+07:00,19400.0,89,19469.0,-158.0,SELL,-0.04058324601325248
114,2021-06-30 10:00:00+07:00,19500.0,70,19570.0,0.0,BUY,0.01763188720971088
115,2021-06-30 13:00:00+07:00,19300.0,88,19570.0,-358.0,SELL,-0.1129776711033536
116,2021-07-02 11:00:00+07:00,19400.0,69,19469.0,0.0,BUY,0.01804866216124733
117,2021-07-05 13:00:00+07:00,19100.0,87,19469.0,-456.0,SELL,-0.03763633148515831
118,2021-07-05 15:00:00+07:00,19200.0,69,19269.0,0.0,BUY,0.0135269313595267
119,2021-07-13 09:00:00+07:00,19500.0,89,19269.0,142.0,SELL,-0.06633675479269437
120,2021-07-15 13:00:00+07:00,19300.0,69,19369.0,0.0,BUY,0.05481850670697712
121,2021-07-16 14:00:00+07:00,19500.0,89,19369.0,42.0,SELL,-0.04605157622540122
122,2021-07-19 09:00:00+07:00,19400.0,69,19469.0,0.0,BUY,0.014245029676893565
123,2021-07-19 14:00:00+07:00,19300.0,88,19469.0,-257.0,SELL,-0.027787160585704792
124,2021-07-19 15:00:00+07:00,19300.0,69,19369.0,0.0,BUY,0.042906447499226064
125,2021-07-21 09:00:00+07:00,19400.0,89,19369.0,-58.0,SELL,-0.15261239306987137
126,2021-07-26 10:00:00+07:00,19500.0,70,19570.0,0.0,BUY,0.0026856654004067744
127,2021-07-26 11:00:00+07:00,19400.0,89,19570.0,-259.0,SELL,-0.02409684532563174
128,2021-07-28 14:00:00+07:00,19200.0,69,19269.0,0.0,BUY,0.0428138629266476
129,2021-07-29 13:00:00+07:00,19600.0,90,19269.0,241.0,SELL,-0.2711592407908015
130,2021-08-09 09:00:00+07:00,19200.0,69,19269.0,0.0,BUY,0.012094606974897015
131,2021-08-09 10:00:00+07:00,19200.0,88,19269.0,-157.0,SELL,-0.06492873446174116
132,2021-08-09 14:00:00+07:00,19300.0,69,19369.0,0.0,BUY,0.12782166075455217
133,2021-08-10 10:00:00+07:00,18700.0,86,19369.0,-755.0,SELL,-0.10341912763307066
134,2021-08-16 15:00:00+07:00,17400.0,62,17462.0,0.0,BUY,0.04771992333189112
135,2021-08-18 09:00:00+07:00,17400.0,80,17462.0,-142.0,SELL,-0.040218783413820645
136,2021-08-18 11:00:00+07:00,17900.0,64,17964.0,0.0,BUY,0.0023238717252012297
137,2021-08-18 13:00:00+07:00,17800.0,81,17964.0,-245.0,SELL,-0.03594175281005909
138,2021-08-19 09:00:00+07:00,17700.0,63,17763.0,0.0,BUY,0.034470541269352686
139,2021-08-23 13:00:00+07:00,18100.0,83,17763.0,254.0,SELL,-0.02105848070915487
140,2021-08-27 15:00:00+07:00,18300.0,65,18365.0,0.0,BUY,0.07998228838033009
