,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,DC_hband,DC_mband,DC_lband
53,2020-09-25 09:00:00+07:00,21400.0,98,21276.0,26.0,SELL,222.0,213.0,204.0
54,2020-09-25 10:00:00+07:00,21600.0,77,21677.0,0.0,BUY,222.0,213.0,204.0
55,2020-09-28 10:00:00+07:00,21000.0,96,21677.0,-773.0,SELL,222.0,213.0,204.0
56,2020-09-30 14:00:00+07:00,20400.0,73,20473.0,0.0,BUY,218.0,204.5,191.0
57,2020-10-01 09:00:00+07:00,20000.0,92,20473.0,-565.0,SELL,218.0,204.5,191.0
58,2020-10-01 14:00:00+07:00,20600.0,74,20674.0,0.0,BUY,214.0,202.5,191.0
59,2020-10-02 13:00:00+07:00,20600.0,94,20674.0,-168.0,SELL,210.0,200.5,191.0
60,2020-10-09 11:00:00+07:00,23200.0,83,23283.0,0.0,BUY,236.0,231.0,226.0
61,2020-10-12 09:00:00+07:00,23400.0,107,23283.0,10.0,SELL,238.0,233.0,228.0
62,2020-10-12 11:00:00+07:00,23400.0,84,23484.0,0.0,BUY,238.0,233.0,228.0
63,2020-10-13 09:00:00+07:00,23000.0,105,23484.0,-589.0,SELL,238.0,233.0,228.0
64,2020-10-13 13:00:00+07:00,23600.0,84,23684.0,0.0,BUY,238.0,233.0,228.0
65,2020-10-15 09:00:00+07:00,23400.0,107,23684.0,-391.0,SELL,240.0,234.0,228.0
66,2020-10-15 10:00:00+07:00,23600.0,84,23684.0,0.0,BUY,246.0,237.0,228.0
67,2020-10-15 14:00:00+07:00,23400.0,107,23684.0,-391.0,SELL,246.0,237.0,228.0
68,2020-10-19 11:00:00+07:00,23800.0,85,23885.0,0.0,BUY,246.0,237.0,228.0
69,2020-10-19 13:00:00+07:00,23600.0,108,23885.0,-393.0,SELL,246.0,237.0,228.0
70,2020-10-20 11:00:00+07:00,23800.0,85,23885.0,0.0,BUY,246.0,237.0,228.0
71,2020-10-21 09:00:00+07:00,23400.0,107,23885.0,-592.0,SELL,244.0,236.0,228.0
72,2020-10-22 15:00:00+07:00,22000.0,79,22079.0,0.0,BUY,244.0,232.0,220.0
73,2020-11-02 09:00:00+07:00,22000.0,101,22079.0,-180.0,SELL,232.0,224.0,216.0
74,2020-11-02 11:00:00+07:00,21600.0,77,21677.0,0.0,BUY,232.0,224.0,216.0
75,2020-11-03 09:00:00+07:00,21600.0,99,21677.0,-176.0,SELL,230.0,222.0,214.0
76,2020-11-03 10:00:00+07:00,21400.0,77,21477.0,0.0,BUY,230.0,222.0,214.0
77,2020-11-04 09:00:00+07:00,21800.0,100,21477.0,223.0,SELL,228.0,221.0,214.0
78,2020-11-04 13:00:00+07:00,21400.0,77,21477.0,0.0,BUY,228.0,221.0,214.0
79,2020-11-06 09:00:00+07:00,21800.0,100,21477.0,223.0,SELL,224.0,218.0,212.0
80,2020-11-06 11:00:00+07:00,22000.0,79,22079.0,0.0,BUY,224.0,218.0,212.0
81,2020-11-06 14:00:00+07:00,21800.0,100,22079.0,-379.0,SELL,224.0,218.0,212.0
82,2020-11-09 14:00:00+07:00,22600.0,81,22681.0,0.0,BUY,228.0,220.0,212.0
83,2020-11-09 15:00:00+07:00,22800.0,104,22681.0,15.0,SELL,228.0,220.0,212.0
84,2020-11-18 13:00:00+07:00,24600.0,88,24688.0,0.0,BUY,264.0,255.0,246.0
85,2020-11-20 10:00:00+07:00,25200.0,115,24688.0,397.0,SELL,262.0,252.0,242.0
86,2020-11-24 09:00:00+07:00,25200.0,90,25290.0,0.0,BUY,262.0,252.0,242.0
87,2020-11-24 13:00:00+07:00,26200.0,120,25290.0,790.0,SELL,262.0,253.0,244.0
88,2020-11-30 13:00:00+07:00,26200.0,94,26294.0,0.0,BUY,280.0,271.0,262.0
89,2020-12-02 09:00:00+07:00,26600.0,122,26294.0,184.0,SELL,276.0,268.0,260.0
90,2020-12-03 09:00:00+07:00,25000.0,90,25090.0,0.0,BUY,276.0,263.0,250.0
91,2020-12-08 13:00:00+07:00,24600.0,113,25090.0,-603.0,SELL,256.0,246.0,236.0
92,2020-12-08 14:00:00+07:00,24600.0,88,24688.0,0.0,BUY,256.0,246.0,236.0
93,2020-12-10 10:00:00+07:00,24600.0,113,24688.0,-201.0,SELL,256.0,246.0,236.0
94,2020-12-10 11:00:00+07:00,25000.0,90,25090.0,0.0,BUY,256.0,249.0,242.0
95,2020-12-10 13:00:00+07:00,24400.0,112,25090.0,-802.0,SELL,256.0,249.0,242.0
96,2020-12-10 14:00:00+07:00,24800.0,89,24889.0,0.0,BUY,256.0,249.0,242.0
97,2020-12-11 09:00:00+07:00,24800.0,114,24889.0,-203.0,SELL,256.0,249.0,242.0
98,2020-12-11 10:00:00+07:00,24800.0,89,24889.0,0.0,BUY,256.0,249.0,242.0
99,2020-12-15 09:00:00+07:00,25200.0,115,24889.0,196.0,SELL,260.0,251.0,242.0
100,2020-12-15 14:00:00+07:00,25200.0,90,25290.0,0.0,BUY,260.0,251.0,242.0
